82,두산퓨얼셀,"54,300","2,700",-4.74%,100,"35,563","65,494",14.19,"4,006,647",159.24,N/A,
83,키움증권,"143,500","9,000",+6.69%,"5,000","34,468","24,019",22.09,"674,591",6.33,16.97,
84,NH투자증권,"12,100",500,+4.31%,"5,000","34,050","281,409",14.80,"5,789,672",5.88,9.12,
85,쌍용양회,"6,690",10,+0.15%,100,"33,708","503,860",2.96,"1,469,424",26.87,7.02,
86,에스원,"88,200",300,-0.34%,500,"33,515","37,999",55.68,"73,618",23.21,11.32,
87,동서,"33,250",450,-1.34%,500,"33,150","99,700",4.36,"103,024",23.97,10.53,
88,현대차2우B,"90,100","2,500",-2.70%,"5,000","32,873","36,485",60.85,"157,431",21.53,N/A,
89,GS건설,"40,150",150,+0.38%,"5,000","32,269","80,370",27.37,"1,005,905",10.50,11.79,
90,호텔신라,"81,800",400,-0.49%,"5,000","32,105","39,248",20.30,"608,596",-24.83,20.16,
91,더존비즈온,"106,000","1,000",+0.95%,500,"31,912","30,106",45.93,"98,366",65.88,18.78,
92,만도,"66,400",300,-0.45%,"1,000","31,180","46,957",26.05,"652,857",-56.22,7.55,
93,대우조선해양,"28,850",100,+0.35%,"5,000","30,953","107,291",8.94,"592,103",17.75,-1.22,
94,LG화학우,"394,000",0,0.00%,"5,000","30,294","7,689",60.51,"61,591",36.81,N/A,
95,두산밥캣,"30,050",250,+0.84%,500,"30,125","100,249",20.60,"307,480",16.26,7.05,
96,씨에스윈드,"174,000","6,500",-3.60%,500,"30,077","17,286",8.25,"249,310",60.67,9.92,
97,DB손해보험,"42,450",500,-1.16%,500,"30,055","70,800",40.69,"173,614",5.41,6.92,
98,TIGER 200,"41,110",10,-0.02%,0,"30,010","73,000",7.48,"1,461,489",N/A,N/A,
99,한국가스공사,"32,100","1,050",+3.38%,"5,000","29,632","92,313",8.73,"881,336",-5.91,0.48,
100,롯데쇼핑,"102,500","1,000",-0.97%,"5,000","28,996","28,289",11.34,"144,969",-2.16,-8.14,
101,현대오토에버,"138,000",500,+0.36%,500,"28,980","21,000",1.48,"178,231",50.42,11.71,
102,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
103,한국항공우주,"29,100","1,300",+4.68%,"5,000","28,365","97,475",14.19,"2,536,608",21.43,15.84,
104,팬오션,"5,240",190,-3.50%,"1,000","28,011","534,570",11.41,"5,288,202",20.71,5.49,
105,CJ,"95,200","1,200",+1.28%,"5,000","27,776","29,177",19.98,"183,794",15.81,6.24,
106,삼성엔지니어링,"13,950",100,+0.72%,"5,000","27,342","196,000",24.71,"4,745,921",10.71,24.62,
107,GS리테일,"35,250",50,+0.14%,"1,000","27,142","77,000",14.31,"462,835",16.07,6.25,
108,휠라홀딩스,"44,450",250,-0.56%,"1,000","27,004","60,752",47.67,"394,876",14.99,23.81,
109,한샘,"109,500","3,000",+2.82%,"1,000","25,770","23,534",23.26,"122,554",38.45,7.32,
110,메리츠증권,"3,750",40,+1.08%,"1,000","25,349","675,962",12.73,"7,480,715",4.69,15.06,
111,대우건설,"6,040",250,+4.32%,"5,000","25,104","415,623",8.33,"31,070,886",13.05,8.80,
112,종근당,"230,500","1,500",-0.65%,"2,500","25,092","10,886",13.34,"142,500",27.35,11.94,
113,하이트진로,"34,450","1,250",+3.77%,"5,000","24,161","70,134",9.22,"1,908,297",32.56,-3.86,
114,일진머티리얼즈,"52,200",800,-1.51%,500,"24,070","46,111",7.91,"407,258",54.15,8.52,
115,LS,"74,300","1,700",-2.24%,"5,000","23,925","32,200",12.02,"325,404","-1,031.94",0.80,
116,녹십자홀딩스,"50,700","1,150",+2.32%,500,"23,843","47,028",6.69,"6,549,650",47.92,0.37,
117,현대로템,"21,750",100,+0.46%,"5,000","23,738","109,142",4.88,"8,782,985",-12.35,-37.93,
118,DB하이텍,"53,400","3,500",+7.01%,"5,000","23,709","44,399",27.49,"5,004,921",14.41,17.40,
119,제일기획,"20,350",100,+0.49%,200,"23,411","115,041",32.36,"610,481",17.25,15.09,
120,신세계,"237,500","2,000",-0.84%,"5,000","23,382","9,845",24.77,"78,245",-7.63,14.24,
121,OCI,"96,800","3,000",-3.01%,"5,000","23,086","23,849",20.01,"500,305",-3.13,-26.20,
122,BGF리테일,"133,500","1,000",-0.74%,"1,000","23,074","17,284",30.81,"36,193",17.64,26.46,
123,한화생명,"2,615",125,+5.02%,"5,000","22,712","868,530",7.39,"13,386,820",9.94,0.51,
124,한화,"29,200",300,-1.02%,"5,000","21,888","74,959",19.58,"625,378",11.90,2.09,
125,현대차우,"89,700","1,600",-1.75%,"5,000","21,848","24,357",53.44,"143,705",21.43,N/A,
126,한솔케미칼,"190,500","7,500",-3.79%,"5,000","21,517","11,295",38.46,"95,202",18.33,20.88,
127,대웅제약,"184,500","6,000",-3.15%,"2,500","21,377","11,587",4.79,"522,082","-1,290.21",4.34,
128,현대미포조선,"52,900",900,-1.67%,"5,000","21,129","39,942",13.44,"615,204",45.52,2.31,
129,오뚜기,"571,000","2,000",-0.35%,"5,000","20,967","3,672",16.01,"6,927",19.29,7.79,
130,KODEX 단기채권,"102,640",5,0.00%,0,"20,931","20,393",2.94,"24,248",N/A,N/A,
131,한올바이오파마,"40,050","1,800",+4.71%,500,"20,922","52,241",7.81,"1,655,030",106.23,14.90,
132,현대해상,"22,250",250,-1.11%,500,"19,892","89,400",37.32,"461,224",5.46,6.23,
133,LS ELECTRIC,"64,700","1,300",-1.97%,"5,000","19,410","30,000",14.45,"249,141",24.93,7.82,
134,KODEX 200선물인버스2X,"2,320",5,+0.22%,0,"19,142","825,100",1.15,"231,948,187",N/A,N/A,
