tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,vsPwymtDwIM-jCm2lUTPcCAnRNWsYdgcJ_D9HPx1oWtO1L4,KZ Quad,1022,365,234,False,False,False,True
CHALLENGER,PYQIT6bvczb8u38W7_LpIpNmVg8YiuLUE4D2d7zaQtEh-A,군밤갓,866,289,240,False,False,False,True
CHALLENGER,xs6j-GqpmnY-ehAAXXxz9QC34wbjNqdXhgtx9AAwhfIlHoE,튀자튀자아,881,580,536,False,False,False,True
CHALLENGER,VKQjVl6X6-AslBfhOTeWUoZ1luYPV6vnEmOpmZqoNyPkKkI,2021 Cha1lengeR,1049,894,800,False,False,False,False
CHALLENGER,xMaLyV1hEYsnzTo-hLIpVovjODsZeb27Lx2N_Qu-EIBdh2I,오뚜기3분미트볼,1182,278,208,False,False,False,False
CHALLENGER,m2D_5UMi0RDCxfutCHeFVkhAfRn6FfjESvIyCFILsVT1ty4,쇼메쇼메,1001,381,296,False,False,False,False
CHALLENGER,udFEDgm4vTLLOVQ9RmgFELcmLiNRgvCI3PO24XQ00pp_R2c,EDGzhaoQX888765,1247,1311,1183,True,False,False,True
CHALLENGER,AD5BycCsl_8A82ZTJNRO2arNB0uCaEt03h4KXhAcq_1t-Io,Liiv Effort,1060,364,299,True,False,False,False
CHALLENGER,S0K7f37b5ZpVw2Smx3uWfsnw3ZG2mzGqY2HXyikW0SCpRp3k,두꺼비압수,872,379,270,False,False,False,False
CHALLENGER,8e1QmY6jRL-C9GDHTT2KoPQcLSo5pClAodofdIcAOfuWbNc,FA Wizer,938,453,402,False,False,False,True
CHALLENGER,OhD5-Ppm7f_fO3R2ueXERcWCUsjHMVmAdX-OgvcgBMDhhE4,OMGqx1328035572,919,785,694,False,False,False,False
CHALLENGER,HO0sLXnMf-fgOlNQe0GdChp68Olx4JjjJUqr2LWSqQ906IU,홍콩반점 매니아,862,251,186,False,False,False,False
CHALLENGER,qqtaOlAF4I0Rb4DJ6I52atW7VeSLxrWUlSH0n9_ASIFdvH1rpByfLviaaQ,TL T4CTICAL,975,130,74,False,False,False,False
CHALLENGER,zqtgDjY-UZTIdLjt9d-i5xwIfoTnLT0VeULaxpK1Hra4A2s,미친듯이 파이팅,1334,299,190,True,False,False,False
CHALLENGER,5wJAzEv4J0UOmFuESTTKUDFWCCR18EqNagBdWzVZH9x3Xg,단군의청춘부재,1123,608,569,True,False,False,True
CHALLENGER,OvlSTwAslrLeX_DNema0bnVFWF3nfUoeULMcrLM0GgH62zQ,직스 좀 믿어줘,907,288,215,True,False,False,False
CHALLENGER,l-GIs7eW4iQs3lcruAZXRydYb_6o2cbir_8KkvThRF0CEw,미쳐놈,935,1089,1008,True,False,False,False
CHALLENGER,Z731SZYX2hn-4X8heQoi_t9yfa1UoU_Kfbiynqy4XFEkiCY,FA Ruby,993,683,626,True,False,False,False
CHALLENGER,7WRtXEF6AuPDkaZSl0xgrXWVKSrdcCDiSyMRSVMrgYndcXM,xunxunxuno,1590,666,500,True,False,False,False
CHALLENGER,ah1REd1F9VFc60sqhS_TZ8Wp_Nf0KL6VBwgmdRqxfceHa-0,닥터스트레인지,909,184,52,False,False,False,False
CHALLENGER,OkFM-VaOE4C5faFQKAwm1mmGueaGl9QkP6hroLZPVUsscAlI,fA 죽어도 솔랭,886,364,256,False,False,False,False
CHALLENGER,qSOY68X33cKF6zAp9QyJ-1OFRunvSiLESnj6cJHVuClpfw,훙쌍리,889,434,350,False,False,True,True
CHALLENGER,h6k4S0_F9sjIHNLZrEQ3WWeChtCP0Yw03DdJFzilOUnoXWA,zywbzdcs,1012,850,802,False,False,False,False
CHALLENGER,7Vc20LAwnjRImwmqtoRGj6yaFklnsFi4l6va-Q1NX7W4E9U,KronGG,898,756,694,True,False,False,True
CHALLENGER,wTGvKxEH2rIF0z2OWk3-eaYRfhbTHeSMoZgldni-t9Ge5Vw,Awe Dive,880,717,665,False,False,False,False
CHALLENGER,uth_O_5-MXhwMlmGWF_gQh5JhQ12H1s3R-_zmdWaI9p80D0,T1 Keria,895,801,748,True,False,False,False
CHALLENGER,yqJ24vdhRreh5Xtpz9NYYIGlYdoOotfxOao1zYRyQBjSSUY,루시안조이밴탈론,868,550,492,False,False,False,False
